t,cond,tag,note
6.746,10,SessionStart,
6.746,0,COND_START,Gesture
124.831,0,SURVEY_Q1,아바타가 사람처럼 
내 발표 내용을 이해하고;
그에 맞는 적절한 질문을 해준다고 느꼈다.|5
125.680,0,SURVEY_Q2,시스템이 오류 없이 
내 발표 내용을 바탕으로
적절한 질문을 생성한다고 느꼈다.|6
126.959,0,SURVEY_Q3,아바타의 고개 끄덕임과 ‘음…’이 
내가 말한 내용을 
신중히 고민 중이라는 느낌을 주었다.|7
129.119,0,COND_END,Gesture
129.119,1,COND_START,Spatial
205.091,1,SURVEY_Q1,아바타가 사람처럼 
내 발표 내용을 이해하고;
그에 맞는 적절한 질문을 해준다고 느꼈다.|4
206.330,1,SURVEY_Q2,시스템이 오류 없이 
내 발표 내용을 바탕으로
적절한 질문을 생성한다고 느꼈다.|6
207.694,1,SURVEY_Q3,아바타의 고개 끄덕임과 ‘음…’이 
내가 말한 내용을 
신중히 고민 중이라는 느낌을 주었다.|5
210.424,1,COND_END,Spatial
217.137,1,SessionEnd,
