t,cond,avgDb,wpm,text
5.236,1,-120.0,0.0,
5.343,1,-120.0,0.0,
5.440,1,-93.3,0.0,
5.542,1,-17.3,0.0,
5.638,1,-18.3,0.0,
5.749,1,-14.7,0.0,
5.845,1,-29.4,0.0,
5.940,1,-18.9,0.0,
6.039,1,-32.5,0.0,
6.136,1,-17.6,0.0,
6.240,1,-16.0,0.0,
6.346,1,-18.0,0.0,
6.442,1,-48.5,0.0,
6.538,1,-25.8,0.0,
6.636,1,-56.2,0.0,
6.738,1,-25.2,0.0,
6.842,1,-18.1,0.0,
6.946,1,-26.8,0.0,
7.045,1,-18.4,0.0,
7.144,1,-30.2,0.0,
7.242,1,-29.8,0.0,
7.337,1,-19.6,0.0,
7.436,1,-15.7,0.0,
7.540,1,-14.7,0.0,
7.641,1,-52.2,0.0,
7.738,1,-24.6,0.0,
7.840,1,-14.1,0.0,
7.944,1,-20.8,0.0,
8.042,1,-16.3,0.0,
8.139,1,-16.9,0.0,
8.237,1,-38.1,0.0,
8.344,1,-27.9,0.0,
8.441,1,-45.1,0.0,
8.538,1,-85.8,0.0,
8.635,1,-99.0,0.0,
8.738,1,-120.0,0.0,
8.840,1,-120.0,0.0,
8.939,1,-120.0,0.0,
9.035,1,-120.0,0.0,
9.154,1,-120.0,0.0,
9.243,1,-120.0,0.0,
9.354,1,-120.0,0.0,
9.439,1,-120.0,0.0,
9.541,1,-95.1,0.0,
9.642,1,-23.8,0.0,
9.740,1,-17.4,0.0,
9.835,1,-55.8,0.0,
9.942,1,-14.7,0.0,
10.036,1,-32.0,0.0,
10.145,1,-18.8,0.0,
10.241,1,-18.5,0.0,
10.339,1,-48.0,0.0,
10.437,1,-28.1,0.0,
10.539,1,-20.6,0.0,
10.638,1,-30.8,0.0,
10.738,1,-15.2,0.0,
10.839,1,-16.3,0.0,
10.936,1,-25.5,0.0,
11.038,1,-25.1,0.0,
11.145,1,-16.2,0.0,
11.237,1,-49.7,0.0,
11.342,1,-25.7,0.0,
11.446,1,-15.6,0.0,
11.542,1,-25.9,0.0,
11.643,1,-16.1,0.0,
11.910,1,-26.9,0.0,
11.910,1,-26.9,0.0,
11.940,1,-28.6,0.0,
12.037,1,-58.0,0.0,
12.145,1,-86.4,0.0,
12.236,1,-96.6,0.0,
12.337,1,-120.0,0.0,
12.435,1,-120.0,0.0,
12.536,1,-120.0,0.0,
12.636,1,-120.0,0.0,
12.736,1,-120.0,0.0,
12.836,1,-120.0,0.0,
12.937,1,-97.4,0.0,
13.036,1,-78.6,0.0,
13.155,1,-13.8,0.0,
13.238,1,-12.3,0.0,
13.351,1,-15.5,0.0,
13.445,1,-13.5,0.0,
13.539,1,-13.8,0.0,
13.635,1,-16.0,0.0,
13.745,1,-17.4,0.0,
13.845,1,-44.1,0.0,
13.944,1,-25.6,0.0,
14.044,1,-24.9,0.0,
14.143,1,-19.3,0.0,
14.244,1,-37.5,0.0,
14.339,1,-24.9,0.0,
14.455,1,-19.7,0.0,
14.535,1,-32.0,0.0,
14.637,1,-21.9,0.0,
14.736,1,-25.4,0.0,
14.841,1,-25.6,0.0,
14.940,1,-58.2,0.0,
15.041,1,-94.6,0.0,
15.144,1,-120.0,0.0,
15.240,1,-120.0,0.0,
15.348,1,-120.0,0.0,
15.442,1,-120.0,0.0,
15.541,1,-120.0,0.0,
15.636,1,-120.0,0.0,
15.745,1,-120.0,0.0,
15.844,1,-120.0,0.0,
15.943,1,-120.0,0.0,
16.044,1,-120.0,0.0,
16.151,1,-120.0,0.0,
16.237,1,-120.0,0.0,
16.337,1,-120.0,0.0,
16.444,1,-120.0,0.0,
16.539,1,-120.0,0.0,
16.639,1,-120.0,0.0,
16.741,1,-120.0,0.0,
16.835,1,-120.0,0.0,
16.942,1,-120.0,0.0,
17.071,1,-120.0,0.0,
17.136,1,-120.0,0.0,
17.235,1,-120.0,0.0,
17.338,1,-120.0,0.0,
17.441,1,-120.0,0.0,
17.543,1,-120.0,0.0,
17.646,1,-120.0,0.0,
17.740,1,-120.0,0.0,
17.842,1,-120.0,0.0,
17.945,1,-120.0,0.0,
18.036,1,-120.0,0.0,
18.141,1,-120.0,0.0,
18.244,1,-120.0,0.0,
18.338,1,-120.0,0.0,
18.441,1,-120.0,0.0,
18.536,1,-120.0,0.0,
18.636,1,-120.0,0.0,
18.738,1,-120.0,0.0,
18.844,1,-120.0,0.0,
18.938,1,-120.0,0.0,
19.043,1,-120.0,0.0,
19.138,1,-120.0,0.0,
19.236,1,-120.0,0.0,
19.338,1,-120.0,0.0,
19.443,1,-120.0,0.0,
19.538,1,-120.0,0.0,
19.635,1,-120.0,0.0,
19.754,1,-120.0,0.0,
19.836,1,-120.0,0.0,
19.945,1,-120.0,0.0,
20.046,1,-120.0,0.0,
20.137,1,-120.0,0.0,
20.239,1,-120.0,0.0,
20.345,1,-120.0,0.0,
20.439,1,-120.0,0.0,
20.546,1,-120.0,0.0,
20.641,1,-120.0,0.0,
20.737,1,-120.0,0.0,
20.839,1,-120.0,0.0,
20.937,1,-120.0,0.0,
21.036,1,-120.0,0.0,
21.141,1,-120.0,0.0,
21.245,1,-120.0,0.0,
21.338,1,-120.0,0.0,
21.444,1,-120.0,0.0,
21.538,1,-120.0,0.0,
21.645,1,-120.0,0.0,
21.737,1,-120.0,0.0,
21.842,1,-120.0,0.0,
21.936,1,-120.0,0.0,
22.043,1,-120.0,0.0,
22.136,1,-120.0,0.0,
22.236,1,-120.0,0.0,
22.339,1,-120.0,0.0,
22.443,1,-120.0,0.0,
22.540,1,-120.0,0.0,
22.644,1,-120.0,0.0,
22.738,1,-120.0,0.0,
22.843,1,-120.0,0.0,
22.936,1,-120.0,0.0,
23.036,1,-120.0,0.0,
23.137,1,-120.0,0.0,
23.243,1,-120.0,0.0,
23.338,1,-120.0,0.0,
23.435,1,-120.0,0.0,
23.542,1,-120.0,0.0,
23.637,1,-120.0,0.0,
23.740,1,-120.0,0.0,
23.835,1,-120.0,0.0,
23.939,1,-120.0,0.0,
24.037,1,-120.0,0.0,
24.142,1,-120.0,0.0,
24.236,1,-120.0,0.0,
24.342,1,-120.0,0.0,
24.439,1,-120.0,0.0,
24.543,1,-120.0,0.0,
24.636,1,-120.0,0.0,
24.737,1,-120.0,0.0,
24.840,1,-120.0,0.0,
24.945,1,-120.0,0.0,
25.036,1,-120.0,0.0,
25.136,1,-120.0,0.0,
25.242,1,-120.0,0.0,
25.345,1,-120.0,0.0,
25.435,1,-120.0,0.0,
25.538,1,-120.0,0.0,
25.658,1,-120.0,0.0,
25.737,1,-120.0,0.0,
25.844,1,-120.0,0.0,
25.935,1,-120.0,0.0,
26.038,1,-120.0,0.0,
26.138,1,-120.0,0.0,
26.236,1,-120.0,0.0,
26.340,1,-120.0,0.0,
26.439,1,-120.0,0.0,
26.546,1,-120.0,0.0,
26.645,1,-120.0,0.0,
26.736,1,-120.0,0.0,
26.839,1,-120.0,0.0,
26.940,1,-120.0,0.0,
27.040,1,-120.0,0.0,
27.138,1,-120.0,0.0,
27.236,1,-120.0,0.0,
27.349,1,-120.0,0.0,
27.435,1,-120.0,0.0,
27.537,1,-120.0,0.0,
27.641,1,-120.0,0.0,
27.736,1,-120.0,0.0,
27.840,1,-120.0,0.0,
27.939,1,-120.0,0.0,
28.038,1,-120.0,0.0,
28.145,1,-120.0,0.0,
28.247,1,-120.0,0.0,
28.345,1,-120.0,0.0,
28.479,1,-120.0,0.0,
28.537,1,-120.0,0.0,
28.638,1,-120.0,0.0,
28.739,1,-120.0,0.0,
28.840,1,-120.0,0.0,
28.941,1,-120.0,0.0,
29.037,1,-120.0,0.0,
29.139,1,-120.0,0.0,
29.242,1,-120.0,0.0,
29.336,1,-120.0,0.0,
29.437,1,-120.0,0.0,
29.546,1,-120.0,0.0,
29.645,1,-120.0,0.0,
29.737,1,-120.0,0.0,
29.842,1,-120.0,0.0,
29.944,1,-120.0,0.0,
30.043,1,-120.0,0.0,
30.143,1,-120.0,0.0,
30.237,1,-120.0,0.0,
30.337,1,-120.0,0.0,
30.439,1,-120.0,0.0,
30.538,1,-120.0,0.0,
30.638,1,-120.0,0.0,
30.737,1,-120.0,0.0,
30.837,1,-120.0,0.0,
30.939,1,-120.0,0.0,
31.037,1,-120.0,0.0,
31.142,1,-120.0,0.0,
31.238,1,-120.0,0.0,
31.339,1,-120.0,0.0,
31.439,1,-120.0,0.0,
31.538,1,-120.0,0.0,
31.637,1,-120.0,0.0,
31.737,1,-120.0,0.0,
31.836,1,-120.0,0.0,
31.937,1,-120.0,0.0,
32.036,1,-120.0,0.0,
32.137,1,-120.0,0.0,
32.245,1,-120.0,0.0,
32.336,1,-120.0,0.0,
32.435,1,-120.0,0.0,
32.537,1,-120.0,0.0,
32.646,1,-120.0,0.0,
32.736,1,-120.0,0.0,
32.836,1,-120.0,0.0,
32.935,1,-120.0,0.0,
33.037,1,-120.0,0.0,
33.136,1,-120.0,0.0,
33.238,1,-120.0,0.0,
33.336,1,-120.0,0.0,
33.439,1,-120.0,0.0,
33.543,1,-120.0,0.0,
33.635,1,-120.0,0.0,
33.740,1,-120.0,0.0,
33.843,1,-120.0,0.0,
33.944,1,-120.0,0.0,
34.036,1,-120.0,0.0,
34.136,1,-120.0,0.0,
34.238,1,-120.0,0.0,
34.336,1,-120.0,0.0,
34.447,1,-120.0,0.0,
34.543,1,-120.0,0.0,
34.641,1,-120.0,0.0,
34.738,1,-120.0,0.0,
34.836,1,-120.0,0.0,
34.940,1,-120.0,0.0,
35.043,1,-120.0,0.0,
35.143,1,-120.0,0.0,
35.243,1,-120.0,0.0,
35.339,1,-120.0,0.0,
35.439,1,-120.0,0.0,
35.536,1,-120.0,0.0,
35.636,1,-120.0,0.0,
35.736,1,-120.0,0.0,
35.835,1,-120.0,0.0,
35.944,1,-120.0,0.0,
36.043,1,-120.0,0.0,
36.142,1,-120.0,0.0,
36.241,1,-120.0,0.0,
36.339,1,-120.0,0.0,
36.439,1,-120.0,0.0,
36.539,1,-120.0,0.0,
36.638,1,-120.0,0.0,
36.738,1,-120.0,0.0,
36.838,1,-120.0,0.0,
36.939,1,-120.0,0.0,
37.040,1,-120.0,0.0,
37.139,1,-120.0,0.0,
37.240,1,-120.0,0.0,
37.338,1,-120.0,0.0,
37.436,1,-120.0,0.0,
37.544,1,-120.0,0.0,
37.642,1,-120.0,0.0,
37.741,1,-120.0,0.0,
37.840,1,-120.0,0.0,
37.938,1,-120.0,0.0,
38.039,1,-120.0,0.0,
38.137,1,-120.0,0.0,
38.244,1,-120.0,0.0,
38.343,1,-120.0,0.0,
38.436,1,-120.0,0.0,
38.542,1,-120.0,0.0,
38.641,1,-120.0,0.0,
38.743,1,-120.0,0.0,
38.835,1,-120.0,0.0,
38.942,1,-120.0,0.0,
39.039,1,-120.0,0.0,
39.138,1,-120.0,0.0,
39.236,1,-120.0,0.0,
39.336,1,-120.0,0.0,
39.444,1,-120.0,0.0,
39.537,1,-120.0,0.0,
39.642,1,-120.0,0.0,
39.742,1,-120.0,0.0,
39.841,1,-120.0,0.0,
39.939,1,-120.0,0.0,
40.039,1,-120.0,0.0,
40.138,1,-120.0,0.0,
40.236,1,-120.0,0.0,
40.336,1,-120.0,0.0,
40.436,1,-120.0,0.0,
40.535,1,-120.0,0.0,
40.644,1,-120.0,0.0,
40.742,1,-120.0,0.0,
40.840,1,-120.0,0.0,
40.944,1,-120.0,0.0,
41.039,1,-120.0,0.0,
41.138,1,-120.0,0.0,
41.240,1,-120.0,0.0,
41.337,1,-120.0,0.0,
41.440,1,-120.0,0.0,
41.537,1,-120.0,0.0,
41.642,1,-120.0,0.0,
41.744,1,-120.0,0.0,
41.843,1,-120.0,0.0,
41.947,1,-120.0,0.0,
42.041,1,-120.0,0.0,
42.145,1,-120.0,0.0,
42.240,1,-120.0,0.0,
42.344,1,-120.0,0.0,
42.439,1,-120.0,0.0,
42.544,1,-120.0,0.0,
42.636,1,-120.0,0.0,
42.742,1,-120.0,0.0,
42.843,1,-120.0,0.0,
42.936,1,-120.0,0.0,
43.036,1,-120.0,0.0,
43.135,1,-120.0,0.0,
43.236,1,-120.0,0.0,
43.352,1,-120.0,0.0,
43.436,1,-120.0,0.0,
43.541,1,-120.0,0.0,
43.639,1,-120.0,0.0,
43.742,1,-120.0,0.0,
43.845,1,-120.0,0.0,
43.938,1,-120.0,0.0,
44.036,1,-120.0,0.0,
44.144,1,-120.0,0.0,
44.241,1,-120.0,0.0,
44.340,1,-120.0,0.0,
44.436,1,-120.0,0.0,
44.546,1,-120.0,0.0,
44.641,1,-120.0,0.0,
44.739,1,-120.0,0.0,
44.839,1,-120.0,0.0,
44.936,1,-120.0,0.0,
45.036,1,-120.0,0.0,
45.142,1,-120.0,0.0,
45.243,1,-120.0,0.0,
45.343,1,-120.0,0.0,
45.440,1,-120.0,0.0,
45.539,1,-120.0,0.0,
45.636,1,-120.0,0.0,
45.735,1,-120.0,0.0,
45.842,1,-120.0,0.0,
45.939,1,-120.0,0.0,
46.037,1,-120.0,0.0,
46.141,1,-120.0,0.0,
46.239,1,-120.0,0.0,
46.338,1,-120.0,0.0,
46.436,1,-120.0,0.0,
46.537,1,-120.0,0.0,
46.645,1,-120.0,0.0,
46.737,1,-120.0,0.0,
46.837,1,-120.0,0.0,
46.944,1,-120.0,0.0,
47.035,1,-120.0,0.0,
47.143,1,-120.0,0.0,
47.236,1,-120.0,0.0,
47.335,1,-120.0,0.0,
47.438,1,-120.0,0.0,
47.541,1,-120.0,0.0,
47.635,1,-120.0,0.0,
47.743,1,-120.0,0.0,
47.842,1,-120.0,0.0,
47.940,1,-120.0,0.0,
48.039,1,-120.0,0.0,
48.137,1,-120.0,0.0,
48.237,1,-120.0,0.0,
48.345,1,-120.0,0.0,
48.443,1,-120.0,0.0,
48.541,1,-120.0,0.0,
48.642,1,-120.0,0.0,
48.738,1,-120.0,0.0,
48.839,1,-120.0,0.0,
48.936,1,-120.0,0.0,
49.045,1,-120.0,0.0,
49.142,1,-120.0,0.0,
49.242,1,-120.0,0.0,
49.340,1,-120.0,0.0,
49.438,1,-120.0,0.0,
49.538,1,-120.0,0.0,
49.639,1,-120.0,0.0,
49.738,1,-120.0,0.0,
49.836,1,-120.0,0.0,
49.936,1,-120.0,0.0,
50.036,1,-120.0,0.0,
50.143,1,-120.0,0.0,
50.243,1,-120.0,0.0,
50.341,1,-120.0,0.0,
50.440,1,-120.0,0.0,
50.540,1,-120.0,0.0,
50.635,1,-120.0,0.0,
50.738,1,-120.0,0.0,
50.841,1,-120.0,0.0,
50.944,1,-120.0,0.0,
51.044,1,-120.0,0.0,
51.140,1,-120.0,0.0,
51.240,1,-120.0,0.0,
51.336,1,-120.0,0.0,
51.439,1,-120.0,0.0,
51.541,1,-120.0,0.0,
51.643,1,-120.0,0.0,
51.735,1,-120.0,0.0,
51.841,1,-120.0,0.0,
51.938,1,-120.0,0.0,
52.040,1,-120.0,0.0,
52.139,1,-120.0,0.0,
52.237,1,-120.0,0.0,
52.336,1,-120.0,0.0,
52.445,1,-120.0,0.0,
52.543,1,-120.0,0.0,
52.640,1,-120.0,0.0,
52.738,1,-120.0,0.0,
52.839,1,-120.0,0.0,
52.936,1,-120.0,0.0,
53.046,1,-120.0,0.0,
53.137,1,-120.0,0.0,
53.244,1,-120.0,0.0,
53.342,1,-120.0,0.0,
53.438,1,-120.0,0.0,
53.542,1,-120.0,0.0,
53.641,1,-120.0,0.0,
53.742,1,-120.0,0.0,
53.840,1,-120.0,0.0,
53.940,1,-120.0,0.0,
54.041,1,-120.0,0.0,
54.141,1,-120.0,0.0,
54.240,1,-120.0,0.0,
54.338,1,-120.0,0.0,
54.435,1,-120.0,0.0,
54.543,1,-120.0,0.0,
54.642,1,-120.0,0.0,
54.739,1,-120.0,0.0,
54.838,1,-120.0,0.0,
54.937,1,-120.0,0.0,
55.042,1,-120.0,0.0,
55.137,1,-120.0,0.0,
55.245,1,-120.0,0.0,
55.810,1,-120.0,0.0,
55.810,1,-120.0,0.0,
55.810,1,-120.0,0.0,
55.810,1,-120.0,0.0,
55.810,1,-120.0,0.0,
55.840,1,-120.0,0.0,
55.944,1,-120.0,0.0,
56.041,1,-120.0,0.0,
56.139,1,-120.0,0.0,
56.235,1,-120.0,0.0,
56.336,1,-120.0,0.0,
56.440,1,-120.0,0.0,
56.543,1,-120.0,0.0,
56.643,1,-120.0,0.0,
56.735,1,-120.0,0.0,
56.836,1,-120.0,0.0,
56.937,1,-120.0,0.0,
57.040,1,-120.0,0.0,
