t,cond,avgDb,wpm,text
7.206,1,-120.0,0.0,
7.206,1,-120.0,0.0,
7.206,1,-120.0,0.0,
7.206,1,-120.0,0.0,
7.206,1,-120.0,0.0,
7.206,1,-120.0,0.0,
7.206,1,-120.0,0.0,
7.206,1,-120.0,0.0,
7.206,1,-120.0,0.0,
7.206,1,-120.0,0.0,
7.206,1,-120.0,0.0,
7.206,1,-120.0,0.0,
7.206,1,-120.0,0.0,
7.206,1,-120.0,0.0,
7.206,1,-120.0,0.0,
7.206,1,-120.0,0.0,
7.206,1,-120.0,0.0,
7.206,1,-120.0,0.0,
7.206,1,-120.0,0.0,
7.206,1,-120.0,0.0,
7.206,1,-120.0,0.0,
7.206,1,-120.0,0.0,
7.206,1,-120.0,0.0,
7.206,1,-120.0,0.0,
7.206,1,-120.0,0.0,
7.206,1,-120.0,0.0,
7.206,1,-120.0,0.0,
7.206,1,-120.0,0.0,
7.206,1,-120.0,0.0,
7.206,1,-120.0,0.0,
7.206,1,-120.0,0.0,
7.206,1,-120.0,0.0,
7.206,1,-120.0,0.0,
7.206,1,-120.0,0.0,
7.206,1,-120.0,0.0,
7.206,1,-120.0,0.0,
7.206,1,-120.0,0.0,
7.206,1,-120.0,0.0,
7.206,1,-120.0,0.0,
7.206,1,-120.0,0.0,
7.206,1,-120.0,0.0,
7.206,1,-120.0,0.0,
7.206,1,-120.0,0.0,
7.206,1,-120.0,0.0,
7.206,1,-120.0,0.0,
7.206,1,-120.0,0.0,
7.206,1,-120.0,0.0,
7.206,1,-120.0,0.0,
7.206,1,-120.0,0.0,
7.206,1,-120.0,0.0,
7.206,1,-120.0,0.0,
7.206,1,-120.0,0.0,
7.206,1,-120.0,0.0,
7.206,1,-120.0,0.0,
7.206,1,-120.0,0.0,
7.206,1,-120.0,0.0,
7.206,1,-120.0,0.0,
7.206,1,-120.0,0.0,
7.206,1,-120.0,0.0,
7.206,1,-120.0,0.0,
7.206,1,-120.0,0.0,
7.206,1,-120.0,0.0,
7.206,1,-120.0,0.0,
7.206,1,-120.0,0.0,
7.206,1,-120.0,0.0,
7.206,1,-120.0,0.0,
7.206,1,-120.0,0.0,
7.206,1,-120.0,0.0,
7.206,1,-120.0,0.0,
7.206,1,-120.0,0.0,
7.206,1,-120.0,0.0,
7.206,1,-120.0,0.0,
7.206,1,-120.0,0.0,
7.306,1,-120.0,0.0,
7.404,1,-94.5,0.0,
7.501,1,-16.2,0.0,
7.612,1,-15.2,0.0,
7.710,1,-14.9,0.0,
7.807,1,-27.9,0.0,
7.952,1,-47.4,0.0,
8.004,1,-31.7,0.0,
8.104,1,-16.7,0.0,
8.200,1,-15.1,0.0,
8.313,1,-17.9,0.0,
8.408,1,-49.3,0.0,
8.555,1,-19.8,0.0,
8.605,1,-29.0,0.0,
8.703,1,-59.4,0.0,
8.801,1,-28.8,0.0,
8.911,1,-20.4,0.0,
9.008,1,-59.7,0.0,
9.106,1,-27.8,0.0,
9.202,1,-22.8,0.0,
9.300,1,-33.3,0.0,
9.400,1,-16.9,0.0,
9.510,1,-42.6,0.0,
9.608,1,-16.2,0.0,
9.705,1,-35.5,0.0,
9.803,1,-18.3,0.0,
9.914,1,-16.0,0.0,
10.012,1,-23.0,0.0,
10.109,1,-24.5,0.0,
10.206,1,-35.0,0.0,
10.305,1,-74.5,0.0,
10.402,1,-93.7,0.0,
10.513,1,-120.0,0.0,
10.611,1,-120.0,0.0,
10.708,1,-120.0,0.0,
10.806,1,-120.0,0.0,
10.903,1,-120.0,0.0,
11.002,1,-120.0,0.0,
11.112,1,-120.0,0.0,
11.210,1,-120.0,0.0,
11.307,1,-120.0,0.0,
11.406,1,-98.2,0.0,
11.503,1,-31.8,0.0,
11.601,1,-36.6,0.0,
11.712,1,-15.0,0.0,
11.809,1,-18.0,0.0,
11.907,1,-23.0,0.0,
12.005,1,-15.4,0.0,
12.102,1,-20.8,0.0,
12.214,1,-28.6,0.0,
12.312,1,-18.6,0.0,
12.408,1,-51.6,0.0,
12.505,1,-16.8,0.0,
12.604,1,-20.0,0.0,
12.701,1,-20.5,0.0,
12.812,1,-27.8,0.0,
12.911,1,-26.9,0.0,
13.008,1,-22.8,0.0,
13.105,1,-32.7,0.0,
13.202,1,-40.6,0.0,
13.314,1,-29.2,0.0,
13.411,1,-32.0,0.0,
13.509,1,-18.4,0.0,
13.606,1,-24.1,0.0,
13.703,1,-25.1,0.0,
13.801,1,-35.7,0.0,
13.912,1,-93.7,0.0,
14.010,1,-97.3,0.0,
14.107,1,-120.0,0.0,
14.205,1,-120.0,0.0,
14.302,1,-120.0,0.0,
14.415,1,-120.0,0.0,
14.511,1,-120.0,0.0,
14.608,1,-120.0,0.0,
14.706,1,-120.0,0.0,
14.803,1,-98.1,0.0,
14.901,1,-26.6,0.0,
15.012,1,-12.1,0.0,
15.109,1,-24.9,0.0,
15.207,1,-26.5,0.0,
15.305,1,-14.7,0.0,
15.402,1,-13.7,0.0,
15.513,1,-17.5,0.0,
15.611,1,-24.2,0.0,
15.708,1,-25.7,0.0,
15.806,1,-18.1,0.0,
15.903,1,-16.0,0.0,
16.000,1,-45.2,0.0,
16.112,1,-20.1,0.0,
16.210,1,-26.9,0.0,
16.307,1,-25.6,0.0,
16.404,1,-31.0,0.0,
16.504,1,-24.3,0.0,
16.613,1,-25.7,0.0,
16.712,1,-49.2,0.0,
16.808,1,-71.1,0.0,
16.905,1,-95.5,0.0,
17.003,1,-120.0,0.0,
17.102,1,-120.0,0.0,
17.212,1,-120.0,0.0,
17.309,1,-120.0,0.0,
17.405,1,-120.0,0.0,
17.503,1,-120.0,0.0,
17.614,1,-120.0,0.0,
17.712,1,-120.0,0.0,
17.810,1,-120.0,0.0,
17.906,1,-120.0,0.0,
18.004,1,-120.0,0.0,
18.103,1,-120.0,0.0,
18.200,1,-120.0,0.0,
18.310,1,-120.0,0.0,
18.408,1,-120.0,0.0,
18.505,1,-120.0,0.0,
18.602,1,-120.0,0.0,
18.714,1,-120.0,0.0,
18.810,1,-120.0,0.0,
18.909,1,-120.0,0.0,
19.007,1,-120.0,0.0,
19.103,1,-120.0,0.0,
19.201,1,-120.0,0.0,
19.312,1,-120.0,0.0,
19.409,1,-120.0,0.0,
19.507,1,-120.0,0.0,
19.604,1,-120.0,0.0,
19.702,1,-120.0,0.0,
19.813,1,-120.0,0.0,
19.910,1,-120.0,0.0,
20.008,1,-120.0,0.0,
20.106,1,-120.0,0.0,
20.203,1,-120.0,0.0,
20.313,1,-120.0,0.0,
20.412,1,-120.0,0.0,
20.509,1,-120.0,0.0,
20.606,1,-120.0,0.0,
20.704,1,-120.0,0.0,
20.801,1,-120.0,0.0,
20.912,1,-120.0,0.0,
21.009,1,-120.0,0.0,
21.106,1,-120.0,0.0,
21.204,1,-120.0,0.0,
21.302,1,-120.0,0.0,
21.413,1,-120.0,0.0,
21.513,1,-120.0,0.0,
21.609,1,-120.0,0.0,
21.707,1,-120.0,0.0,
21.805,1,-120.0,0.0,
21.902,1,-120.0,0.0,
22.013,1,-120.0,0.0,
22.111,1,-120.0,0.0,
22.207,1,-120.0,0.0,
22.305,1,-120.0,0.0,
22.404,1,-120.0,0.0,
22.500,1,-120.0,0.0,
22.611,1,-120.0,0.0,
22.709,1,-120.0,0.0,
22.807,1,-120.0,0.0,
22.904,1,-120.0,0.0,
23.001,1,-120.0,0.0,
23.113,1,-120.0,0.0,
23.210,1,-120.0,0.0,
23.308,1,-120.0,0.0,
23.405,1,-120.0,0.0,
23.502,1,-120.0,0.0,
23.601,1,-120.0,0.0,
23.711,1,-120.0,0.0,
23.810,1,-120.0,0.0,
23.906,1,-120.0,0.0,
24.031,1,-120.0,0.0,
24.104,1,-120.0,0.0,
24.213,1,-120.0,0.0,
24.311,1,-120.0,0.0,
24.407,1,-120.0,0.0,
24.506,1,-120.0,0.0,
24.603,1,-120.0,0.0,
24.701,1,-120.0,0.0,
24.812,1,-120.0,0.0,
24.909,1,-120.0,0.0,
25.007,1,-120.0,0.0,
25.106,1,-120.0,0.0,
