t,cond,hitObj,x,y,z
12.198,0,DoneButton (2),6.03,-1.05,-1.81
12.198,0,DoneButton (2),6.03,-1.05,-1.81
12.198,0,DoneButton (2),6.03,-1.05,-1.81
12.198,0,DoneButton (2),6.03,-1.05,-1.81
12.198,0,DoneButton (2),6.03,-1.05,-1.81
12.198,0,DoneButton (2),6.03,-1.05,-1.81
12.198,0,DoneButton (2),6.03,-1.05,-1.81
12.198,0,DoneButton (2),6.03,-1.05,-1.81
12.198,0,DoneButton (2),6.03,-1.05,-1.81
12.198,0,DoneButton (2),6.03,-1.05,-1.81
12.198,0,DoneButton (2),6.03,-1.05,-1.81
12.198,0,DoneButton (2),6.03,-1.05,-1.81
12.198,0,DoneButton (2),6.03,-1.05,-1.81
12.198,0,DoneButton (2),6.03,-1.05,-1.81
12.198,0,DoneButton (2),6.03,-1.05,-1.81
12.198,0,DoneButton (2),6.03,-1.05,-1.81
12.198,0,DoneButton (2),6.03,-1.05,-1.81
12.198,0,DoneButton (2),6.03,-1.05,-1.81
12.198,0,DoneButton (2),6.03,-1.05,-1.81
12.198,0,DoneButton (2),6.03,-1.05,-1.81
12.198,0,DoneButton (2),6.03,-1.05,-1.81
12.198,0,DoneButton (2),6.03,-1.05,-1.81
12.198,0,DoneButton (2),6.03,-1.05,-1.81
12.198,0,DoneButton (2),6.03,-1.05,-1.81
12.198,0,DoneButton (2),6.03,-1.05,-1.81
12.198,0,DoneButton (2),6.03,-1.05,-1.81
12.198,0,DoneButton (2),6.03,-1.05,-1.81
12.198,0,DoneButton (2),6.03,-1.05,-1.81
12.198,0,DoneButton (2),6.03,-1.05,-1.81
12.198,0,DoneButton (2),6.03,-1.05,-1.81
12.198,0,DoneButton (2),6.03,-1.05,-1.81
12.198,0,DoneButton (2),6.03,-1.05,-1.81
12.198,0,DoneButton (2),6.03,-1.05,-1.81
12.198,0,DoneButton (2),6.03,-1.05,-1.81
12.198,0,DoneButton (2),6.03,-1.05,-1.81
12.198,0,DoneButton (2),6.03,-1.05,-1.81
12.198,0,DoneButton (2),6.03,-1.05,-1.81
12.198,0,DoneButton (2),6.03,-1.05,-1.81
12.198,0,DoneButton (2),6.03,-1.05,-1.81
12.198,0,DoneButton (2),6.03,-1.05,-1.81
12.198,0,DoneButton (2),6.03,-1.05,-1.81
12.198,0,DoneButton (2),6.03,-1.05,-1.81
12.198,0,DoneButton (2),6.03,-1.05,-1.81
12.198,0,DoneButton (2),6.03,-1.05,-1.81
12.198,0,DoneButton (2),6.03,-1.05,-1.81
12.198,0,DoneButton (2),6.03,-1.05,-1.81
12.198,0,DoneButton (2),6.03,-1.05,-1.81
12.198,0,DoneButton (2),6.03,-1.05,-1.81
12.198,0,DoneButton (2),6.03,-1.05,-1.81
12.198,0,DoneButton (2),6.03,-1.05,-1.81
12.198,0,DoneButton (2),6.03,-1.05,-1.81
12.198,0,DoneButton (2),6.03,-1.05,-1.81
12.198,0,DoneButton (2),6.03,-1.05,-1.81
12.198,0,DoneButton (2),6.03,-1.05,-1.81
12.198,0,DoneButton (2),6.03,-1.05,-1.81
12.198,0,DoneButton (2),6.03,-1.05,-1.81
12.198,0,DoneButton (2),6.03,-1.05,-1.81
12.198,0,DoneButton (2),6.03,-1.05,-1.81
12.198,0,DoneButton (2),6.03,-1.05,-1.81
12.198,0,DoneButton (2),6.03,-1.05,-1.81
12.198,0,DoneButton (2),6.03,-1.05,-1.81
12.198,0,DoneButton (2),6.03,-1.05,-1.81
12.198,0,DoneButton (2),6.03,-1.05,-1.81
12.198,0,DoneButton (2),6.03,-1.05,-1.81
12.198,0,DoneButton (2),6.03,-1.05,-1.81
12.198,0,DoneButton (2),6.03,-1.05,-1.81
12.198,0,DoneButton (2),6.03,-1.05,-1.81
12.198,0,DoneButton (2),6.03,-1.05,-1.81
12.198,0,DoneButton (2),6.03,-1.05,-1.81
12.198,0,DoneButton (2),6.03,-1.05,-1.81
12.198,0,DoneButton (2),6.03,-1.05,-1.81
12.198,0,DoneButton (2),6.03,-1.05,-1.81
12.198,0,DoneButton (2),6.03,-1.05,-1.81
12.198,0,DoneButton (2),6.03,-1.05,-1.81
12.198,0,DoneButton (2),6.03,-1.05,-1.81
12.198,0,DoneButton (2),6.03,-1.05,-1.81
12.198,0,DoneButton (2),6.03,-1.05,-1.81
12.198,0,DoneButton (2),6.03,-1.05,-1.81
12.198,0,DoneButton (2),6.03,-1.05,-1.81
12.198,0,DoneButton (2),6.03,-1.05,-1.81
12.198,0,DoneButton (2),6.03,-1.05,-1.81
12.198,0,DoneButton (2),6.03,-1.05,-1.81
12.198,0,DoneButton (2),6.03,-1.05,-1.81
12.198,0,DoneButton (2),6.03,-1.05,-1.81
