t,cond,hitObj,x,y,z
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.489,1,Collider,6.49,-1.05,-1.80
5.547,1,Collider,6.49,-1.12,-1.80
5.547,1,Collider,6.49,-1.12,-1.80
5.589,1,Collider,6.49,-1.22,-1.80
5.656,1,Collider,6.49,-1.30,-1.80
5.656,1,Collider,6.49,-1.30,-1.80
5.692,1,Collider,6.49,-1.52,-1.80
5.721,1,Collider,6.49,-1.58,-1.80
5.766,1,Middle1,6.47,-1.72,-1.80
5.803,1,Collider,6.49,-1.65,-1.80
5.803,1,Collider,6.49,-1.65,-1.80
5.872,1,Collider,6.49,-1.65,-1.80
5.872,1,Collider,6.49,-1.65,-1.80
5.926,1,Collider,6.49,-1.65,-1.80
5.954,1,Collider,6.49,-1.65,-1.80
5.982,1,Collider,6.49,-1.65,-1.80
6.009,1,Collider,6.49,-1.65,-1.80
6.036,1,Collider,6.49,-1.65,-1.80
6.095,1,Collider,6.49,-1.65,-1.80
6.122,1,Collider,6.49,-1.65,-1.80
6.148,1,Collider,6.49,-1.65,-1.80
6.182,1,Collider,6.49,-1.65,-1.80
6.276,1,RobotHand (L),6.57,-0.57,-1.76
6.276,1,RobotHand (L),6.57,-0.57,-1.76
6.276,1,RobotHand (L),6.57,-0.57,-1.76
6.312,1,Auto Hand Player,6.58,-0.71,-1.76
6.354,1,Auto Hand Player,6.58,-0.72,-1.76
6.386,1,Auto Hand Player,6.58,-0.71,-1.76
6.426,1,Auto Hand Player,6.58,-0.72,-1.76
6.466,1,Auto Hand Player,6.58,-0.72,-1.77
