t,cond,avgDb,wpm,text
10.021,1,-120.0,0.0,
10.021,1,-120.0,0.0,
10.021,1,-120.0,0.0,
10.021,1,-120.0,0.0,
10.021,1,-120.0,0.0,
10.021,1,-120.0,0.0,
10.021,1,-120.0,0.0,
10.021,1,-120.0,0.0,
10.021,1,-120.0,0.0,
10.021,1,-120.0,0.0,
10.021,1,-120.0,0.0,
10.021,1,-120.0,0.0,
10.021,1,-120.0,0.0,
10.021,1,-120.0,0.0,
10.021,1,-120.0,0.0,
10.021,1,-120.0,0.0,
10.021,1,-120.0,0.0,
10.021,1,-120.0,0.0,
10.021,1,-120.0,0.0,
10.021,1,-120.0,0.0,
10.021,1,-120.0,0.0,
10.021,1,-120.0,0.0,
10.021,1,-120.0,0.0,
10.021,1,-120.0,0.0,
10.021,1,-120.0,0.0,
10.021,1,-120.0,0.0,
10.021,1,-120.0,0.0,
10.021,1,-120.0,0.0,
10.021,1,-120.0,0.0,
10.021,1,-120.0,0.0,
10.021,1,-120.0,0.0,
10.021,1,-120.0,0.0,
10.021,1,-120.0,0.0,
10.021,1,-120.0,0.0,
10.021,1,-120.0,0.0,
10.021,1,-120.0,0.0,
10.021,1,-120.0,0.0,
10.021,1,-120.0,0.0,
10.021,1,-120.0,0.0,
10.021,1,-120.0,0.0,
10.021,1,-120.0,0.0,
10.021,1,-120.0,0.0,
10.021,1,-120.0,0.0,
10.021,1,-120.0,0.0,
10.021,1,-120.0,0.0,
10.021,1,-120.0,0.0,
10.021,1,-120.0,0.0,
10.021,1,-120.0,0.0,
10.021,1,-120.0,0.0,
10.021,1,-120.0,0.0,
10.021,1,-120.0,0.0,
10.021,1,-120.0,0.0,
10.021,1,-120.0,0.0,
10.021,1,-120.0,0.0,
10.021,1,-120.0,0.0,
10.021,1,-120.0,0.0,
10.021,1,-120.0,0.0,
10.021,1,-120.0,0.0,
10.021,1,-120.0,0.0,
10.021,1,-120.0,0.0,
10.021,1,-120.0,0.0,
10.021,1,-120.0,0.0,
10.021,1,-120.0,0.0,
10.021,1,-120.0,0.0,
10.021,1,-120.0,0.0,
10.021,1,-120.0,0.0,
10.021,1,-120.0,0.0,
10.021,1,-120.0,0.0,
10.021,1,-120.0,0.0,
10.021,1,-120.0,0.0,
10.021,1,-120.0,0.0,
10.021,1,-120.0,0.0,
10.021,1,-120.0,0.0,
10.021,1,-120.0,0.0,
10.021,1,-120.0,0.0,
10.021,1,-120.0,0.0,
10.021,1,-120.0,0.0,
10.021,1,-120.0,0.0,
10.021,1,-120.0,0.0,
10.021,1,-120.0,0.0,
10.021,1,-120.0,0.0,
10.021,1,-120.0,0.0,
10.021,1,-120.0,0.0,
10.021,1,-120.0,0.0,
10.021,1,-120.0,0.0,
10.021,1,-120.0,0.0,
10.021,1,-120.0,0.0,
10.021,1,-120.0,0.0,
10.021,1,-120.0,0.0,
