t,cond,avgDb,wpm,text
10.364,0,-120.0,0.0,
10.364,0,-120.0,0.0,
10.364,0,-120.0,0.0,
10.364,0,-120.0,0.0,
10.364,0,-120.0,0.0,
10.364,0,-120.0,0.0,
10.364,0,-120.0,0.0,
10.364,0,-120.0,0.0,
10.364,0,-120.0,0.0,
10.364,0,-120.0,0.0,
10.364,0,-120.0,0.0,
10.364,0,-120.0,0.0,
10.364,0,-120.0,0.0,
10.364,0,-120.0,0.0,
10.364,0,-120.0,0.0,
10.364,0,-120.0,0.0,
10.364,0,-120.0,0.0,
10.364,0,-120.0,0.0,
10.364,0,-120.0,0.0,
10.364,0,-120.0,0.0,
10.364,0,-120.0,0.0,
10.364,0,-120.0,0.0,
10.364,0,-120.0,0.0,
10.364,0,-120.0,0.0,
10.364,0,-120.0,0.0,
10.364,0,-120.0,0.0,
10.364,0,-120.0,0.0,
10.364,0,-120.0,0.0,
10.364,0,-120.0,0.0,
10.364,0,-120.0,0.0,
10.364,0,-120.0,0.0,
10.364,0,-120.0,0.0,
10.364,0,-120.0,0.0,
10.364,0,-120.0,0.0,
10.364,0,-120.0,0.0,
10.364,0,-120.0,0.0,
10.364,0,-120.0,0.0,
10.364,0,-120.0,0.0,
10.364,0,-120.0,0.0,
10.364,0,-120.0,0.0,
10.364,0,-120.0,0.0,
10.364,0,-120.0,0.0,
10.364,0,-120.0,0.0,
10.364,0,-120.0,0.0,
10.364,0,-120.0,0.0,
10.364,0,-120.0,0.0,
10.364,0,-120.0,0.0,
10.364,0,-120.0,0.0,
10.364,0,-120.0,0.0,
10.364,0,-120.0,0.0,
10.364,0,-120.0,0.0,
10.364,0,-120.0,0.0,
10.364,0,-120.0,0.0,
10.364,0,-120.0,0.0,
10.364,0,-120.0,0.0,
10.364,0,-120.0,0.0,
10.364,0,-120.0,0.0,
10.364,0,-120.0,0.0,
10.364,0,-120.0,0.0,
10.364,0,-120.0,0.0,
10.364,0,-120.0,0.0,
10.364,0,-120.0,0.0,
10.364,0,-120.0,0.0,
10.364,0,-120.0,0.0,
10.364,0,-120.0,0.0,
10.364,0,-120.0,0.0,
10.364,0,-120.0,0.0,
10.364,0,-120.0,0.0,
10.364,0,-120.0,0.0,
10.364,0,-120.0,0.0,
10.364,0,-120.0,0.0,
10.364,0,-120.0,0.0,
10.364,0,-120.0,0.0,
10.364,0,-120.0,0.0,
10.364,0,-120.0,0.0,
10.364,0,-120.0,0.0,
10.364,0,-120.0,0.0,
10.364,0,-120.0,0.0,
10.364,0,-120.0,0.0,
10.364,0,-120.0,0.0,
10.364,0,-120.0,0.0,
10.364,0,-120.0,0.0,
10.364,0,-120.0,0.0,
10.364,0,-120.0,0.0,
10.364,0,-120.0,0.0,
10.364,0,-120.0,0.0,
10.364,0,-120.0,0.0,
10.364,0,-120.0,0.0,
10.364,0,-120.0,0.0,
10.364,0,-120.0,0.0,
10.364,0,-120.0,0.0,
10.364,0,-120.0,0.0,
10.364,0,-120.0,0.0,
10.364,0,-120.0,0.0,
10.364,0,-120.0,0.0,
10.364,0,-120.0,0.0,
10.364,0,-120.0,0.0,
10.364,0,-120.0,0.0,
10.364,0,-120.0,0.0,
10.364,0,-120.0,0.0,
10.364,0,-120.0,0.0,
10.364,0,-120.0,0.0,
10.364,0,-120.0,0.0,
10.364,0,-120.0,0.0,
10.406,0,-120.0,0.0,
10.505,0,-97.3,0.0,
10.605,0,-69.5,0.0,
10.715,0,-17.6,0.0,
10.813,0,-15.0,0.0,
10.906,0,-16.3,0.0,
11.082,0,-18.7,0.0,
11.101,0,-25.0,0.0,
11.224,0,-16.0,0.0,
11.303,0,-16.1,0.0,
11.410,0,-16.7,0.0,
