t,cond,avgDb,wpm,text
5.350,0,-120.0,0.0,
5.350,0,-120.0,0.0,
5.350,0,-120.0,0.0,
5.350,0,-120.0,0.0,
5.350,0,-120.0,0.0,
5.350,0,-120.0,0.0,
5.350,0,-120.0,0.0,
5.350,0,-120.0,0.0,
5.350,0,-120.0,0.0,
5.350,0,-120.0,0.0,
5.350,0,-120.0,0.0,
5.350,0,-120.0,0.0,
5.350,0,-120.0,0.0,
5.350,0,-120.0,0.0,
5.350,0,-120.0,0.0,
5.350,0,-120.0,0.0,
5.350,0,-120.0,0.0,
5.350,0,-120.0,0.0,
5.350,0,-120.0,0.0,
5.350,0,-120.0,0.0,
5.350,0,-120.0,0.0,
5.350,0,-120.0,0.0,
5.350,0,-120.0,0.0,
5.350,0,-120.0,0.0,
5.350,0,-120.0,0.0,
5.350,0,-120.0,0.0,
5.350,0,-120.0,0.0,
5.350,0,-120.0,0.0,
5.350,0,-120.0,0.0,
5.350,0,-120.0,0.0,
5.350,0,-120.0,0.0,
5.350,0,-120.0,0.0,
5.350,0,-120.0,0.0,
5.350,0,-120.0,0.0,
5.350,0,-120.0,0.0,
5.350,0,-120.0,0.0,
5.350,0,-120.0,0.0,
5.350,0,-120.0,0.0,
5.350,0,-120.0,0.0,
5.350,0,-120.0,0.0,
5.350,0,-120.0,0.0,
5.350,0,-120.0,0.0,
5.350,0,-120.0,0.0,
5.350,0,-120.0,0.0,
5.350,0,-120.0,0.0,
5.350,0,-120.0,0.0,
5.350,0,-120.0,0.0,
5.350,0,-120.0,0.0,
5.350,0,-120.0,0.0,
5.350,0,-120.0,0.0,
5.350,0,-120.0,0.0,
5.350,0,-120.0,0.0,
5.350,0,-120.0,0.0,
5.350,0,-120.0,0.0,
5.401,0,-120.0,0.0,
5.512,0,-99.3,0.0,
5.609,0,-71.9,0.0,
5.709,0,-14.1,0.0,
5.805,0,-15.1,0.0,
5.903,0,-14.4,0.0,
6.014,0,-25.7,0.0,
6.124,0,-32.6,0.0,
6.206,0,-36.9,0.0,
6.323,0,-16.7,0.0,
6.407,0,-16.6,0.0,
6.505,0,-19.3,0.0,
6.611,0,-32.4,0.0,
6.710,0,-16.4,0.0,
6.807,0,-27.7,0.0,
6.905,0,-46.1,0.0,
7.002,0,-20.1,0.0,
7.101,0,-20.7,0.0,
7.211,0,-35.5,0.0,
7.309,0,-16.4,0.0,
7.407,0,-17.8,0.0,
7.501,0,-17.8,0.0,
7.600,0,-25.9,0.0,
7.713,0,-23.7,0.0,
7.811,0,-14.9,0.0,
7.908,0,-30.9,0.0,
8.005,0,-16.1,0.0,
8.104,0,-16.7,0.0,
8.201,0,-23.5,0.0,
8.313,0,-28.9,0.0,
8.411,0,-43.8,0.0,
8.510,0,-92.1,0.0,
8.606,0,-96.5,0.0,
8.704,0,-120.0,0.0,
8.801,0,-120.0,0.0,
8.913,0,-120.0,0.0,
9.011,0,-120.0,0.0,
9.109,0,-120.0,0.0,
9.207,0,-120.0,0.0,
9.304,0,-120.0,0.0,
9.403,0,-120.0,0.0,
9.513,0,-95.4,0.0,
9.610,0,-24.7,0.0,
9.708,0,-16.5,0.0,
9.805,0,-58.9,0.0,
9.903,0,-15.5,0.0,
10.000,0,-38.9,0.0,
10.112,0,-14.8,0.0,
10.210,0,-18.5,0.0,
10.308,0,-53.1,0.0,
10.406,0,-28.3,0.0,
10.503,0,-19.4,0.0,
10.600,0,-33.0,0.0,
10.701,0,-15.8,0.0,
10.811,0,-17.1,0.0,
10.907,0,-27.0,0.0,
11.005,0,-22.0,0.0,
11.103,0,-18.0,0.0,
11.200,0,-36.9,0.0,
11.312,0,-25.2,0.0,
11.409,0,-17.5,0.0,
11.506,0,-28.7,0.0,
11.604,0,-18.0,0.0,
11.701,0,-23.1,0.0,
11.813,0,-28.3,0.0,
11.910,0,-32.1,0.0,
12.008,0,-62.7,0.0,
12.105,0,-91.8,0.0,
12.203,0,-103.4,0.0,
12.314,0,-120.0,0.0,
12.412,0,-120.0,0.0,
12.510,0,-120.0,0.0,
12.606,0,-120.0,0.0,
12.704,0,-120.0,0.0,
12.801,0,-120.0,0.0,
12.913,0,-97.3,0.0,
13.010,0,-36.1,0.0,
13.108,0,-15.6,0.0,
13.205,0,-14.6,0.0,
13.303,0,-17.5,0.0,
13.400,0,-16.7,0.0,
13.512,0,-15.4,0.0,
13.609,0,-17.4,0.0,
13.707,0,-18.6,0.0,
13.804,0,-44.3,0.0,
13.902,0,-26.7,0.0,
14.013,0,-26.6,0.0,
14.110,0,-22.6,0.0,
14.207,0,-36.7,0.0,
14.305,0,-29.9,0.0,
14.402,0,-20.5,0.0,
14.513,0,-31.8,0.0,
14.611,0,-22.6,0.0,
14.709,0,-25.6,0.0,
14.806,0,-25.5,0.0,
14.903,0,-58.5,0.0,
15.001,0,-95.8,0.0,
15.112,0,-120.0,0.0,
15.210,0,-120.0,0.0,
15.307,0,-120.0,0.0,
15.404,0,-120.0,0.0,
15.501,0,-120.0,0.0,
15.613,0,-120.0,0.0,
15.710,0,-120.0,0.0,
15.807,0,-120.0,0.0,
15.905,0,-120.0,0.0,
16.002,0,-120.0,0.0,
16.114,0,-120.0,0.0,
16.211,0,-120.0,0.0,
16.309,0,-120.0,0.0,
16.407,0,-120.0,0.0,
16.504,0,-120.0,0.0,
16.601,0,-120.0,0.0,
16.713,0,-120.0,0.0,
16.811,0,-120.0,0.0,
16.908,0,-120.0,0.0,
17.006,0,-120.0,0.0,
17.103,0,-120.0,0.0,
17.200,0,-120.0,0.0,
17.312,0,-120.0,0.0,
17.410,0,-120.0,0.0,
17.507,0,-120.0,0.0,
17.604,0,-120.0,0.0,
17.701,0,-120.0,0.0,
17.813,0,-120.0,0.0,
17.910,0,-120.0,0.0,
18.007,0,-120.0,0.0,
18.105,0,-120.0,0.0,
18.202,0,-120.0,0.0,
18.314,0,-120.0,0.0,
18.411,0,-120.0,0.0,
18.509,0,-120.0,0.0,
18.606,0,-120.0,0.0,
18.703,0,-120.0,0.0,
18.801,0,-120.0,0.0,
18.912,0,-120.0,0.0,
19.010,0,-120.0,0.0,
19.107,0,-120.0,0.0,
19.205,0,-120.0,0.0,
19.302,0,-120.0,0.0,
19.413,0,-120.0,0.0,
19.511,0,-120.0,0.0,
19.609,0,-120.0,0.0,
19.706,0,-120.0,0.0,
19.804,0,-120.0,0.0,
19.901,0,-120.0,0.0,
20.012,0,-120.0,0.0,
20.110,0,-120.0,0.0,
20.207,0,-120.0,0.0,
20.305,0,-120.0,0.0,
20.403,0,-120.0,0.0,
20.514,0,-120.0,0.0,
20.611,0,-120.0,0.0,
20.708,0,-120.0,0.0,
20.806,0,-120.0,0.0,
20.903,0,-120.0,0.0,
21.000,0,-120.0,0.0,
21.113,0,-120.0,0.0,
21.209,0,-120.0,0.0,
21.307,0,-120.0,0.0,
21.404,0,-120.0,0.0,
21.502,0,-120.0,0.0,
21.613,0,-120.0,0.0,
21.710,0,-120.0,0.0,
21.808,0,-120.0,0.0,
21.905,0,-120.0,0.0,
22.002,0,-120.0,0.0,
22.100,0,-120.0,0.0,
22.211,0,-120.0,0.0,
22.309,0,-120.0,0.0,
22.407,0,-120.0,0.0,
22.504,0,-120.0,0.0,
22.602,0,-120.0,0.0,
22.713,0,-120.0,0.0,
22.810,0,-120.0,0.0,
22.908,0,-120.0,0.0,
23.005,0,-120.0,0.0,
23.103,0,-120.0,0.0,
23.214,0,-120.0,0.0,
23.311,0,-120.0,0.0,
23.410,0,-120.0,0.0,
23.506,0,-120.0,0.0,
23.604,0,-120.0,0.0,
23.702,0,-120.0,0.0,
23.813,0,-120.0,0.0,
23.910,0,-120.0,0.0,
24.008,0,-120.0,0.0,
24.106,0,-120.0,0.0,
24.202,0,-120.0,0.0,
24.300,0,-120.0,0.0,
24.412,0,-120.0,0.0,
24.509,0,-120.0,0.0,
24.606,0,-120.0,0.0,
24.703,0,-120.0,0.0,
24.801,0,-120.0,0.0,
24.912,0,-120.0,0.0,
25.011,0,-120.0,0.0,
25.107,0,-120.0,0.0,
25.204,0,-120.0,0.0,
25.303,0,-120.0,0.0,
25.414,0,-120.0,0.0,
25.511,0,-120.0,0.0,
25.609,0,-120.0,0.0,
25.706,0,-120.0,0.0,
