t,cond,avgDb,wpm,text
5.281,2,-120.0,0.0,
5.281,2,-120.0,0.0,
5.281,2,-120.0,0.0,
5.281,2,-120.0,0.0,
5.281,2,-120.0,0.0,
5.281,2,-120.0,0.0,
5.281,2,-120.0,0.0,
5.281,2,-120.0,0.0,
5.281,2,-120.0,0.0,
5.281,2,-120.0,0.0,
5.281,2,-120.0,0.0,
5.281,2,-120.0,0.0,
5.281,2,-120.0,0.0,
5.281,2,-120.0,0.0,
5.281,2,-120.0,0.0,
5.281,2,-120.0,0.0,
5.281,2,-120.0,0.0,
5.281,2,-120.0,0.0,
5.281,2,-120.0,0.0,
5.281,2,-120.0,0.0,
5.281,2,-120.0,0.0,
5.281,2,-120.0,0.0,
5.281,2,-120.0,0.0,
5.281,2,-120.0,0.0,
5.281,2,-120.0,0.0,
5.281,2,-120.0,0.0,
5.281,2,-120.0,0.0,
5.281,2,-120.0,0.0,
5.281,2,-120.0,0.0,
5.281,2,-120.0,0.0,
5.281,2,-120.0,0.0,
5.281,2,-120.0,0.0,
5.281,2,-120.0,0.0,
5.281,2,-120.0,0.0,
5.281,2,-120.0,0.0,
5.281,2,-120.0,0.0,
5.281,2,-120.0,0.0,
5.281,2,-120.0,0.0,
5.281,2,-120.0,0.0,
5.281,2,-120.0,0.0,
5.281,2,-120.0,0.0,
5.281,2,-120.0,0.0,
5.281,2,-120.0,0.0,
5.281,2,-120.0,0.0,
5.281,2,-120.0,0.0,
5.281,2,-120.0,0.0,
5.281,2,-120.0,0.0,
5.281,2,-120.0,0.0,
5.281,2,-120.0,0.0,
5.281,2,-120.0,0.0,
5.281,2,-120.0,0.0,
5.281,2,-120.0,0.0,
5.281,2,-120.0,0.0,
5.305,2,-120.0,0.0,
5.413,2,-120.0,0.0,
5.514,2,-96.2,0.0,
5.608,2,-66.5,0.0,
5.706,2,-13.9,0.0,
5.803,2,-15.1,0.0,
5.902,2,-14.9,0.0,
6.028,2,-19.1,0.0,
6.105,2,-47.5,0.0,
6.204,2,-19.5,0.0,
6.303,2,-17.0,0.0,
6.417,2,-17.8,0.0,
6.525,2,-43.2,0.0,
6.610,2,-53.4,0.0,
6.721,2,-30.4,0.0,
6.808,2,-34.0,0.0,
7.134,2,-34.2,0.0,
7.134,2,-34.2,0.0,
7.134,2,-34.2,0.0,
