t,cond,hitObj,x,y,z
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
5.929,0,Collider,6.49,-1.24,-1.80
