t,cond,avgDb,wpm,text
5.918,1,-120.0,0.0,
5.918,1,-120.0,0.0,
5.918,1,-120.0,0.0,
5.918,1,-120.0,0.0,
5.918,1,-120.0,0.0,
5.918,1,-120.0,0.0,
5.918,1,-120.0,0.0,
5.918,1,-120.0,0.0,
5.918,1,-120.0,0.0,
5.918,1,-120.0,0.0,
5.918,1,-120.0,0.0,
5.918,1,-120.0,0.0,
5.918,1,-120.0,0.0,
5.918,1,-120.0,0.0,
5.918,1,-120.0,0.0,
5.918,1,-120.0,0.0,
5.918,1,-120.0,0.0,
5.918,1,-120.0,0.0,
5.918,1,-120.0,0.0,
5.918,1,-120.0,0.0,
5.918,1,-120.0,0.0,
5.918,1,-120.0,0.0,
5.918,1,-120.0,0.0,
5.918,1,-120.0,0.0,
5.918,1,-120.0,0.0,
5.918,1,-120.0,0.0,
5.918,1,-120.0,0.0,
5.918,1,-120.0,0.0,
5.918,1,-120.0,0.0,
5.918,1,-120.0,0.0,
5.918,1,-120.0,0.0,
5.918,1,-120.0,0.0,
5.918,1,-120.0,0.0,
5.918,1,-120.0,0.0,
5.918,1,-120.0,0.0,
5.918,1,-120.0,0.0,
5.918,1,-120.0,0.0,
5.918,1,-120.0,0.0,
5.918,1,-120.0,0.0,
5.918,1,-120.0,0.0,
5.918,1,-120.0,0.0,
5.918,1,-120.0,0.0,
5.918,1,-120.0,0.0,
5.918,1,-120.0,0.0,
5.918,1,-120.0,0.0,
5.918,1,-120.0,0.0,
5.918,1,-120.0,0.0,
5.918,1,-120.0,0.0,
5.918,1,-120.0,0.0,
5.918,1,-120.0,0.0,
5.918,1,-120.0,0.0,
5.918,1,-120.0,0.0,
5.918,1,-120.0,0.0,
5.918,1,-120.0,0.0,
5.918,1,-120.0,0.0,
5.918,1,-120.0,0.0,
5.918,1,-120.0,0.0,
5.918,1,-120.0,0.0,
5.918,1,-120.0,0.0,
5.918,1,-120.0,0.0,
6.011,1,-120.0,0.0,
6.107,1,-94.8,0.0,
6.204,1,-46.7,0.0,
6.302,1,-20.8,0.0,
6.411,1,-14.7,0.0,
6.518,1,-28.7,0.0,
6.610,1,-20.2,0.0,
6.722,1,-36.7,0.0,
6.805,1,-18.4,0.0,
6.915,1,-18.1,0.0,
7.029,1,-17.1,0.0,
7.108,1,-42.5,0.0,
7.206,1,-38.7,0.0,
7.304,1,-33.3,0.0,
7.400,1,-31.3,0.0,
7.501,1,-18.0,0.0,
7.607,1,-25.8,0.0,
7.707,1,-33.7,0.0,
7.804,1,-18.9,0.0,
7.903,1,-53.5,0.0,
8.013,1,-17.4,0.0,
8.112,1,-17.8,0.0,
8.208,1,-20.0,0.0,
8.306,1,-22.4,0.0,
8.403,1,-55.8,0.0,
8.501,1,-16.7,0.0,
8.613,1,-40.6,0.0,
8.710,1,-18.6,0.0,
8.810,1,-15.0,0.0,
8.910,1,-21.6,0.0,
9.011,1,-24.6,0.0,
9.112,1,-34.4,0.0,
9.209,1,-70.2,0.0,
9.308,1,-94.0,0.0,
9.405,1,-120.0,0.0,
9.501,1,-120.0,0.0,
9.611,1,-120.0,0.0,
9.706,1,-120.0,0.0,
9.807,1,-120.0,0.0,
9.904,1,-120.0,0.0,
10.002,1,-120.0,0.0,
10.101,1,-120.0,0.0,
10.212,1,-120.0,0.0,
10.311,1,-97.6,0.0,
10.408,1,-50.7,0.0,
10.506,1,-18.6,0.0,
10.603,1,-58.2,0.0,
10.701,1,-14.1,0.0,
10.812,1,-26.9,0.0,
10.910,1,-25.3,0.0,
11.007,1,-18.1,0.0,
11.105,1,-46.9,0.0,
11.203,1,-28.5,0.0,
11.314,1,-18.7,0.0,
11.412,1,-30.8,0.0,
11.508,1,-15.0,0.0,
11.605,1,-15.3,0.0,
11.703,1,-29.6,0.0,
11.802,1,-30.0,0.0,
11.900,1,-18.2,0.0,
12.011,1,-49.7,0.0,
12.108,1,-21.1,0.0,
12.206,1,-14.5,0.0,
12.303,1,-28.6,0.0,
12.401,1,-21.4,0.0,
12.512,1,-20.8,0.0,
12.610,1,-51.9,0.0,
12.709,1,-29.2,0.0,
12.805,1,-53.8,0.0,
12.902,1,-88.0,0.0,
13.001,1,-96.5,0.0,
13.112,1,-120.0,0.0,
13.206,1,-120.0,0.0,
13.303,1,-120.0,0.0,
13.415,1,-120.0,0.0,
13.512,1,-120.0,0.0,
13.610,1,-120.0,0.0,
13.708,1,-100.1,0.0,
13.806,1,-77.8,0.0,
13.902,1,-32.2,0.0,
14.014,1,-13.8,0.0,
14.112,1,-16.7,0.0,
14.209,1,-20.4,0.0,
14.307,1,-15.7,0.0,
14.404,1,-16.4,0.0,
14.501,1,-18.3,0.0,
14.613,1,-47.1,0.0,
14.710,1,-26.7,0.0,
14.809,1,-33.5,0.0,
14.905,1,-19.8,0.0,
15.002,1,-39.8,0.0,
15.112,1,-19.4,0.0,
