t,cond,avgDb,wpm,text
5.764,1,-120.0,0.0,
5.764,1,-120.0,0.0,
5.764,1,-120.0,0.0,
5.764,1,-120.0,0.0,
5.764,1,-120.0,0.0,
5.764,1,-120.0,0.0,
5.764,1,-120.0,0.0,
5.764,1,-120.0,0.0,
5.764,1,-120.0,0.0,
5.764,1,-120.0,0.0,
5.764,1,-120.0,0.0,
5.764,1,-120.0,0.0,
5.764,1,-120.0,0.0,
5.764,1,-120.0,0.0,
5.764,1,-120.0,0.0,
5.764,1,-120.0,0.0,
5.764,1,-120.0,0.0,
5.764,1,-120.0,0.0,
5.764,1,-120.0,0.0,
5.764,1,-120.0,0.0,
5.764,1,-120.0,0.0,
5.764,1,-120.0,0.0,
5.764,1,-120.0,0.0,
5.764,1,-120.0,0.0,
5.764,1,-120.0,0.0,
5.764,1,-120.0,0.0,
5.764,1,-120.0,0.0,
5.764,1,-120.0,0.0,
5.764,1,-120.0,0.0,
5.764,1,-120.0,0.0,
5.764,1,-120.0,0.0,
5.764,1,-120.0,0.0,
5.764,1,-120.0,0.0,
5.764,1,-120.0,0.0,
5.764,1,-120.0,0.0,
5.764,1,-120.0,0.0,
5.764,1,-120.0,0.0,
5.764,1,-120.0,0.0,
5.764,1,-120.0,0.0,
5.764,1,-120.0,0.0,
5.764,1,-120.0,0.0,
5.764,1,-120.0,0.0,
5.764,1,-120.0,0.0,
5.764,1,-120.0,0.0,
5.764,1,-120.0,0.0,
5.764,1,-120.0,0.0,
5.764,1,-120.0,0.0,
5.764,1,-120.0,0.0,
5.764,1,-120.0,0.0,
5.764,1,-120.0,0.0,
5.764,1,-120.0,0.0,
5.764,1,-120.0,0.0,
5.764,1,-120.0,0.0,
5.764,1,-120.0,0.0,
5.764,1,-120.0,0.0,
5.764,1,-120.0,0.0,
5.764,1,-120.0,0.0,
5.764,1,-120.0,0.0,
5.812,1,-120.0,0.0,
5.909,1,-120.0,0.0,
6.009,1,-120.0,0.0,
6.106,1,-91.1,0.0,
6.203,1,-15.9,0.0,
6.300,1,-18.3,0.0,
6.458,1,-20.4,0.0,
6.504,1,-29.9,0.0,
6.607,1,-19.0,0.0,
6.707,1,-34.4,0.0,
6.821,1,-16.1,0.0,
6.901,1,-16.1,0.0,
7.013,1,-20.0,0.0,
7.123,1,-56.9,0.0,
7.205,1,-25.4,0.0,
7.303,1,-55.7,0.0,
7.402,1,-18.7,0.0,
7.512,1,-19.3,0.0,
7.609,1,-26.7,0.0,
7.708,1,-18.2,0.0,
7.805,1,-26.4,0.0,
7.903,1,-29.9,0.0,
8.001,1,-20.8,0.0,
8.113,1,-25.8,0.0,
8.210,1,-15.4,0.0,
8.309,1,-54.4,0.0,
8.406,1,-22.2,0.0,
8.504,1,-14.3,0.0,
8.602,1,-21.0,0.0,
8.713,1,-14.2,0.0,
8.810,1,-17.9,0.0,
8.907,1,-48.4,0.0,
9.006,1,-28.1,0.0,
9.102,1,-46.9,0.0,
9.200,1,-86.7,0.0,
9.312,1,-105.5,0.0,
9.409,1,-120.0,0.0,
9.506,1,-120.0,0.0,
9.604,1,-120.0,0.0,
9.701,1,-120.0,0.0,
9.812,1,-120.0,0.0,
9.911,1,-120.0,0.0,
10.008,1,-120.0,0.0,
10.106,1,-120.0,0.0,
10.203,1,-96.0,0.0,
10.301,1,-24.3,0.0,
10.413,1,-27.3,0.0,
10.510,1,-36.9,0.0,
10.608,1,-18.7,0.0,
10.705,1,-40.4,0.0,
10.804,1,-14.8,0.0,
10.901,1,-19.2,0.0,
11.012,1,-56.0,0.0,
11.110,1,-23.1,0.0,
11.206,1,-37.4,0.0,
11.303,1,-36.3,0.0,
11.400,1,-21.3,0.0,
11.513,1,-19.4,0.0,
11.611,1,-26.5,0.0,
11.708,1,-29.7,0.0,
11.805,1,-18.6,0.0,
11.902,1,-32.1,0.0,
12.001,1,-25.7,0.0,
12.112,1,-19.5,0.0,
12.209,1,-28.3,0.0,
12.307,1,-17.1,0.0,
12.404,1,-22.8,0.0,
12.502,1,-24.3,0.0,
12.613,1,-32.9,0.0,
12.711,1,-67.5,0.0,
12.808,1,-91.6,0.0,
12.905,1,-120.0,0.0,
13.004,1,-120.0,0.0,
13.101,1,-120.0,0.0,
13.211,1,-120.0,0.0,
13.308,1,-120.0,0.0,
13.401,1,-120.0,0.0,
13.500,1,-120.0,0.0,
13.601,1,-94.6,0.0,
13.710,1,-23.8,0.0,
13.810,1,-13.4,0.0,
13.924,1,-22.2,0.0,
14.035,1,-37.7,0.0,
14.103,1,-13.4,0.0,
14.210,1,-13.9,0.0,
14.308,1,-16.6,0.0,
14.404,1,-18.2,0.0,
14.501,1,-35.1,0.0,
14.613,1,-21.3,0.0,
14.711,1,-21.7,0.0,
14.808,1,-32.6,0.0,
14.906,1,-37.7,0.0,
15.003,1,-35.5,0.0,
15.113,1,-20.6,0.0,
15.212,1,-36.4,0.0,
15.309,1,-22.2,0.0,
15.406,1,-25.2,0.0,
15.504,1,-27.5,0.0,
15.601,1,-64.9,0.0,
15.712,1,-94.9,0.0,
15.810,1,-120.0,0.0,
15.907,1,-120.0,0.0,
16.005,1,-120.0,0.0,
16.103,1,-120.0,0.0,
16.214,1,-120.0,0.0,
16.311,1,-120.0,0.0,
16.410,1,-120.0,0.0,
16.507,1,-120.0,0.0,
16.604,1,-120.0,0.0,
16.702,1,-120.0,0.0,
16.800,1,-120.0,0.0,
16.913,1,-120.0,0.0,
17.010,1,-120.0,0.0,
17.107,1,-120.0,0.0,
17.204,1,-120.0,0.0,
17.301,1,-120.0,0.0,
17.413,1,-120.0,0.0,
17.509,1,-120.0,0.0,
17.608,1,-120.0,0.0,
17.706,1,-120.0,0.0,
17.802,1,-120.0,0.0,
17.901,1,-120.0,0.0,
18.013,1,-120.0,0.0,
18.108,1,-120.0,0.0,
18.204,1,-120.0,0.0,
18.303,1,-120.0,0.0,
18.401,1,-120.0,0.0,
18.510,1,-120.0,0.0,
18.609,1,-120.0,0.0,
18.706,1,-120.0,0.0,
18.804,1,-120.0,0.0,
18.902,1,-120.0,0.0,
19.014,1,-120.0,0.0,
19.111,1,-120.0,0.0,
19.209,1,-120.0,0.0,
19.307,1,-120.0,0.0,
19.404,1,-120.0,0.0,
19.502,1,-120.0,0.0,
19.614,1,-120.0,0.0,
19.711,1,-120.0,0.0,
19.809,1,-120.0,0.0,
19.907,1,-120.0,0.0,
20.004,1,-120.0,0.0,
20.100,1,-120.0,0.0,
20.211,1,-120.0,0.0,
20.309,1,-120.0,0.0,
